customer_id,churn,label_date,split
CUST-00001,No,2025-06-01,val
CUST-00002,No,2025-06-01,train
CUST-00003,Yes,2025-06-01,test
CUST-00004,Yes,2025-06-01,train
CUST-00005,Yes,2025-06-01,train
CUST-00006,Yes,2025-06-01,test
CUST-00007,No,2025-06-01,val
CUST-00008,No,2025-06-01,val
CUST-00009,No,2025-06-01,train
CUST-00010,No,2025-06-01,train
CUST-00011,No,2025-06-01,train
CUST-00012,No,2025-06-01,test
CUST-00013,No,2025-06-01,train
CUST-00014,No,2025-06-01,val
CUST-00015,Yes,2025-06-01,train
CUST-00016,No,2025-06-01,train
CUST-00017,No,2025-06-01,train
CUST-00018,Yes,2025-06-01,train
CUST-00019,No,2025-06-01,val
CUST-00020,Yes,2025-06-01,train
CUST-00021,Yes,2025-06-01,val
CUST-00022,No,2025-06-01,train
CUST-00023,No,2025-06-01,test
CUST-00024,Yes,2025-06-01,test
CUST-00025,No,2025-06-01,val
CUST-00026,No,2025-06-01,train
CUST-00027,No,2025-06-01,train
CUST-00028,Yes,2025-06-01,train
CUST-00029,No,2025-06-01,train
CUST-00030,Yes,2025-06-01,train
CUST-00031,No,2025-06-01,val
CUST-00032,No,2025-06-01,test
CUST-00033,No,2025-06-01,train
CUST-00034,No,2025-06-01,train
CUST-00035,Yes,2025-06-01,train
CUST-00036,No,2025-06-01,train
CUST-00037,No,2025-06-01,train
CUST-00038,No,2025-06-01,train
CUST-00039,Yes,2025-06-01,train
CUST-00040,No,2025-06-01,train
CUST-00041,No,2025-06-01,train
CUST-00042,Yes,2025-06-01,val
CUST-00043,No,2025-06-01,val
CUST-00044,Yes,2025-06-01,train
CUST-00045,No,2025-06-01,val
CUST-00046,Yes,2025-06-01,val
CUST-00047,Yes,2025-06-01,train
CUST-00048,No,2025-06-01,train
CUST-00049,Yes,2025-06-01,train
CUST-00050,Yes,2025-06-01,train
CUST-00051,No,2025-06-01,train
CUST-00052,No,2025-06-01,train
CUST-00053,Yes,2025-06-01,val
CUST-00054,No,2025-06-01,train
CUST-00055,No,2025-06-01,val
CUST-00056,No,2025-06-01,val
CUST-00057,No,2025-06-01,train
CUST-00058,No,2025-06-01,train
CUST-00059,No,2025-06-01,train
CUST-00060,No,2025-06-01,train
CUST-00061,No,2025-06-01,train
CUST-00062,No,2025-06-01,train
CUST-00063,No,2025-06-01,train
CUST-00064,Yes,2025-06-01,val
CUST-00065,Yes,2025-06-01,train
CUST-00066,No,2025-06-01,train
CUST-00067,No,2025-06-01,train
CUST-00068,Yes,2025-06-01,train
CUST-00069,No,2025-06-01,train
CUST-00070,No,2025-06-01,train
CUST-00071,No,2025-06-01,train
CUST-00072,No,2025-06-01,train
CUST-00073,No,2025-06-01,test
CUST-00074,No,2025-06-01,train
CUST-00075,No,2025-06-01,train
CUST-00076,No,2025-06-01,train
CUST-00077,No,2025-06-01,train
CUST-00078,No,2025-06-01,train
